date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-04-13,,,,204679.0,
2020-04-14,,,,288153.0,
2020-04-15,,,,428597.0,
2020-04-16,,,,546269.0,
2020-04-17,,,,621566.0,
2020-04-20,,,,654824.0,
2020-04-22,,,,865404.0,
2020-04-23,,,,1041574.0,
2020-04-24,,,,1292459.0,
2020-04-27,,,,1579305.0,
2020-04-28,,,,1804679.0,
2020-04-29,,,,1997328.0,
2020-04-30,,,,2259578.0,
2020-05-04,,,,0.0,
2020-05-05,,,,53820.0,
2020-05-06,,,,53820.0,
2020-05-07,,,,101722.0,
2020-05-08,,,,331312.0,
2020-05-13,,,,331312.0,
2020-05-14,,,,331312.0,
2020-05-15,,,,647908.0,
2020-05-18,,,,754036.0,
2020-05-19,,,,931855.0,
2020-05-20,,,,1169760.0,
2020-05-21,1281216.0,1281216.0,1281216.0,1281216.0,0.0
2020-05-22,1442450.0,1442450.0,1442450.0,1442450.0,0.0
2020-05-25,1483817.0,1483817.0,1483817.0,1483817.0,0.0
2020-05-26,1565440.0,1565440.0,1565440.0,1565440.0,0.0
2020-05-27,1719994.0,1719994.0,1719994.0,1719994.0,0.0
2020-05-28,2113052.0,2113052.0,2113052.0,2113052.0,0.0
2020-05-29,2251440.0,2251440.0,2251440.0,2251440.0,0.0
2020-06-01,2429895.0,2429895.0,2429895.0,282.0,0.0
2020-06-02,2536381.0,2536381.0,2536381.0,282.0,0.0
2020-06-03,2636988.0,2636988.0,2636988.0,9216.0,0.0
2020-06-04,2636988.0,2636988.0,2636988.0,32893.0,0.0
2020-06-05,2636988.0,2978829.0,2636988.0,111577.0,
2020-06-10,2978829.0,2978829.0,2978829.0,285718.0,0.0
2020-06-12,2978829.0,2978829.0,2978829.0,395464.0,0.0
2020-06-15,529873.0,529873.0,529873.0,529873.0,0.0
2020-06-16,665451.0,665451.0,665451.0,665451.0,0.0
2020-06-17,765465.0,765465.0,765465.0,765465.0,0.0
2020-06-18,847827.0,847827.0,847827.0,847827.0,0.0
2020-06-19,903117.0,903117.0,903117.0,903117.0,0.0
2020-06-22,1094160.0,1094160.0,1094160.0,1094160.0,0.0
2020-06-23,1271973.0,1271973.0,1271973.0,1271973.0,0.0
2020-06-24,1400833.0,1400833.0,1400833.0,1400833.0,0.0
2020-06-25,1538600.0,1538600.0,1538600.0,1538600.0,0.0
2020-06-26,1585727.0,1585727.0,1585727.0,1585727.0,0.0
2020-06-29,1708539.0,1708539.0,1708539.0,1708539.0,
2020-06-30,1975758.0,1975758.0,1975758.0,1975758.0,0.0
2020-07-01,2188504.0,2188504.0,2188504.0,440.0,0.0
2020-07-02,2282430.0,2282430.0,2282430.0,2067.0,0.0
2020-07-03,2282430.0,2483710.0,2282430.0,15992.0,0.0
2020-07-06,2483710.0,2483710.0,2483710.0,49359.0,0.0
2020-07-07,2483710.0,2483710.0,2483710.0,115517.0,0.0
2020-07-08,,,,115517.0,
2020-07-14,,,,546280.0,
2020-07-16,,,,672701.0,
2020-07-17,,,,708755.0,
2020-07-20,,,,799116.0,
2020-07-21,,,,977385.0,
2020-07-22,,,,1128059.0,
2020-07-23,,,,1207659.0,
2020-07-24,,,,1264757.0,
2020-07-27,,,,1614728.0,
2020-07-28,,,,1770792.0,
2020-07-29,,,,1888984.0,
2020-07-30,,,,2087181.0,
2020-07-31,,,,2313251.0,
2020-08-03,,,,1000.0,
2020-08-04,,,,5579.0,
2020-08-05,,,,65747.0,
2020-08-06,,,,110468.0,
2020-08-07,,,,134234.0,
2020-08-12,,,,394103.0,
2020-08-13,,,,463957.0,
2020-08-14,,,,519633.0,
2020-08-17,,,,671078.0,
2020-08-18,,,,793066.0,
2020-08-19,,,,1011756.0,
2020-08-20,,,,1102249.0,
2020-08-21,,,,1288718.0,
2020-08-24,,,,1379172.0,
2020-08-25,,,,1585486.0,
2020-08-26,,,,1814255.0,
2020-08-27,,,,1939687.0,
2020-08-28,,,,2144234.0,
2020-08-31,,,,2315440.0,
2020-09-01,,,,0.0,
2020-09-02,,,,6950.0,
2020-09-03,,,,13085.0,
2020-09-04,,,,42734.0,
2020-09-08,,,,64069.0,
2020-09-09,,,,64069.0,
2020-09-15,,,,857972.0,
2020-09-16,,,,952307.0,
2020-09-17,,,,1178864.0,
2020-09-18,,,,1306697.0,
2020-09-21,,,,1447747.0,
2020-09-22,,,,1645068.0,
2020-09-23,,,,1749109.0,
2020-09-24,,,,1928119.0,
2020-09-25,,,,2279753.0,
2020-09-28,,,,2450894.0,
2020-09-29,,,,2656064.0,
2020-09-30,,,,2838485.0,
2020-10-01,,,,0.0,
2020-10-02,,,,30922.0,
2020-10-05,,,,64657.0,
2020-10-06,,,,117090.0,
2020-10-07,,,,176528.0,
2020-10-08,,,,3794510.0,
2020-10-14,,,,604145.0,
2020-10-15,,,,766497.0,
2020-10-16,,,,890199.0,
2020-10-19,,,,1042248.0,
2020-10-20,,,,1196635.0,
2020-10-21,,,,1356339.0,
2020-10-22,,,,1522237.0,
2020-10-23,,,,1631293.0,
2020-10-26,,,,1914583.0,
2020-10-27,,,,2171444.0,
2020-10-28,,,,2355207.0,
2020-10-29,,,,2425272.0,
2020-10-30,,,,2620536.0,
2020-11-03,,,,6360.0,
2020-11-04,,,,39610.0,
2020-11-05,,,,111384.0,
2020-11-06,,,,190959.0,
2020-11-09,,,,237804.0,
2020-11-10,,,,4092194.0,
2020-11-11,,,,387303.0,
2020-11-12,,,,508345.0,
2020-11-13,,,,695402.0,
2020-11-16,,,,834185.0,
2020-11-17,,,,905999.0,
2020-11-18,,,,1198867.0,
2020-11-19,,,,1508717.0,
2020-11-20,,,,1519702.0,
2020-11-23,,,,1738132.0,
2020-11-24,,,,1989587.0,
2020-11-25,,,,2316152.0,
2020-11-26,,,,2546025.0,
2020-11-27,,,,2685466.0,
2020-12-01,,,,2690.0,
2020-12-02,,,,75985.0,
2020-12-03,,,,3563168.0,
2020-12-04,,,,76305.0,
2020-12-07,,,,151093.0,
2020-12-08,,,,4339084.0,
2020-12-09,,,,316591.0,
2020-12-10,,,,458339.0,
2020-12-11,,,,569009.0,
2020-12-14,,,,667777.0,
2020-12-15,,,,829643.0,
2020-12-16,,,,1022058.0,
2020-12-17,,,,1250117.0,
2020-12-18,,,,1424948.0,
2020-12-21,,,,1540594.0,
2020-12-22,,,,1854654.0,
2020-12-23,,,,2102598.0,
2020-12-24,,,,2222795.0,
2020-12-28,,,,2338736.0,
2020-12-29,,,,2646048.0,
2020-12-30,,,,2984709.0,
2020-12-31,,,,3021698.0,
2021-01-04,,,,0.0,
2021-01-05,,,,13542.0,
2021-01-06,,,,77911.0,
2021-01-07,,,,3768397.0,
2021-01-08,,,,3983233.0,
2021-01-11,,,,134302.0,
2021-01-12,,,,226327.0,
2021-01-13,,,,302544.0,
2021-01-14,,,,302544.0,
2021-01-19,,,,745787.0,
2021-01-20,,,,4259943.0,
2021-01-21,,,,1008949.0,
2021-01-22,,,,1008949.0,
2021-01-25,,,,1301081.0,
2021-01-26,,,,1396441.0,
2021-01-27,,,,1578977.0,
2021-01-28,,,,1706619.0,
2021-01-29,,,,1989485.0,
2021-02-01,,,,2046.0,
2021-02-02,,,,48278.0,
2021-02-03,,,,56574.0,
2021-02-04,,,,72352.0,
2021-02-05,,,,117411.0,
2021-02-08,,,,117411.0,
2021-02-09,,,,306184.0,
2021-02-10,,,,366977.0,
2021-02-12,,,,568432.0,
2021-02-15,,,,648928.0,
2021-02-16,,,,684426.0,
2021-02-17,,,,811495.0,
2021-02-18,,,,1139303.0,
2021-02-19,,,,1309640.0,
2021-02-22,,,,1429222.0,
2021-02-23,,,,1628410.0,
2021-02-24,,,,1846614.0,
2021-02-25,,,,2080669.0,
2021-02-26,,,,2221801.0,
