date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-04-30,,,,4384.0,
2020-05-31,,,,5002.0,
2020-06-30,,,,6394.0,
2020-07-31,,,,6207.0,
2020-08-31,,,,6330.0,
2020-09-30,,,,6770.0,
2020-10-31,,,,6699.0,
2020-11-30,,,,6456.0,
2020-12-31,,,,7916.0,
2021-01-31,,,,11142.0,
2021-02-28,,,,9706.0,
2021-03-31,,,,9674.0,
2021-04-30,,,,9629.0,
2021-05-31,,,,9682.0,
2021-06-30,,,,11946.0,
2021-07-31,,,,9289.0,
2021-08-31,,,,11605.0,
2021-09-30,,,,12459.0,
2021-10-31,,,,10087.0,
2021-11-30,,,,10811.0,
2021-12-31,,,,6794.0,
2022-01-31,,,,5557.0,
2022-02-28,,,,3526.0,
2022-03-31,,,,9633.0,
2022-04-30,,,,8103.0,
2022-05-31,,,,10114.0,
2022-06-30,,,,9210.0,
2022-07-31,,,,12891.0,
2022-08-31,,,,15647.0,
2022-09-30,,,,15113.0,
2022-10-31,,,,13213.0,
2022-11-30,,,,11380.0,
2022-12-31,,,,10690.0,
2023-01-31,,,,8207.0,
2023-02-28,,,,6466.0,
2023-03-31,,,,8576.0,
2023-04-30,,,,8317.0,
2023-05-31,,,,11502.0,
2023-06-30,,,,9083.0,
2023-07-31,,,,17244.0,
2023-08-31,,,,10600.0,
2023-09-30,,,,17241.0,
2023-10-31,,,,16309.0,
2023-11-30,,,,19403.0,
2023-12-31,,,,20948.0,
2024-01-31,,,,38080.0,
2024-02-29,,,,22322.0,
2024-03-31,,,,22404.0,
2024-04-30,,,,12761.0,
2024-05-31,,,,14288.0,
2024-06-30,,,,11202.0,
2024-07-31,,,,13177.0,
2024-08-31,,,,13419.0,
2024-09-30,,,,10519.0,
2024-10-31,,,,10135.0,
2024-11-30,,,,9460.0,
2024-12-31,,,,13146.0,
2025-01-31,,,,16582.0,
2025-02-28,,,,14295.0,
