date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-04-13,,,,975.0,
2020-04-14,,,,975.0,
2020-04-15,,,,975.0,
2020-04-16,,,,975.0,
2020-04-17,,,,975.0,
2020-04-20,,,,650.0,
2020-04-21,,,,650.0,
2020-04-22,,,,650.0,
2020-04-23,,,,650.0,
2020-04-24,,,,650.0,
2020-04-27,,,,650.0,
2020-04-28,,,,650.0,
2020-04-29,,,,650.0,
2020-04-30,,,,650.0,
2020-05-01,,,,650.0,
2020-05-04,,,,650.0,
2020-05-05,,,,650.0,
2020-05-06,,,,650.0,
2020-05-07,,,,650.0,
2020-05-08,,,,650.0,
2020-05-11,,,,650.0,
2020-05-12,,,,650.0,
2020-05-13,,,,650.0,
2020-05-14,,,,650.0,
2020-05-15,,,,650.0,
2020-05-18,,,,650.0,
2020-05-19,,,,650.0,
2020-05-20,,,,650.0,
2020-05-21,,,,650.0,
2020-05-22,,,,650.0,
2020-05-26,,,,650.0,
2020-05-27,,,,650.0,
2020-05-28,,,,650.0,
2020-05-29,,,,650.0,
2020-06-01,,,,650.0,
2020-06-02,,,,650.0,
2020-06-03,,,,650.0,
2020-06-04,,,,650.0,
2020-06-05,,,,650.0,
2020-06-08,,,,650.0,
2020-06-09,,,,650.0,
2020-06-10,,,,650.0,
2020-06-11,,,,650.0,
2020-06-12,,,,650.0,
2020-06-15,,,,650.0,
2020-06-16,,,,650.0,
2020-06-17,,,,650.0,
2020-06-18,,,,650.0,
2020-06-19,,,,650.0,
2020-06-22,,,,650.0,
2020-06-23,,,,650.0,
2020-06-24,,,,650.0,
2020-06-25,,,,650.0,
2020-06-26,,,,650.0,
2020-06-29,,,,650.0,
2020-06-30,,,,650.0,
2020-07-01,,,,650.0,
2020-07-02,,,,650.0,
2020-07-06,,,,650.0,
2020-07-07,,,,650.0,
2020-07-08,,,,650.0,
2020-07-09,,,,650.0,
2020-07-10,,,,650.0,
2020-07-13,,,,650.0,
2020-07-14,,,,650.0,
2020-07-15,,,,650.0,
2020-07-16,,,,650.0,
2020-07-17,,,,650.0,
2020-07-20,,,,650.0,
2020-07-21,,,,650.0,
2020-07-22,,,,650.0,
2020-07-23,,,,650.0,
2020-07-24,,,,650.0,
2020-07-27,,,,650.0,
2020-07-28,,,,650.0,
2020-07-29,,,,650.0,
2020-07-30,,,,650.0,
2020-07-31,,,,650.0,
2020-08-03,,,,650.0,
2020-08-04,,,,650.0,
2020-08-05,,,,650.0,
2020-08-06,,,,650.0,
2020-08-07,,,,650.0,
2020-08-10,,,,650.0,
2020-08-11,,,,650.0,
2020-08-12,,,,650.0,
2020-08-13,,,,650.0,
2020-08-14,,,,650.0,
2020-08-17,,,,650.0,
2020-08-18,,,,650.0,
2020-08-19,,,,650.0,
2020-08-20,,,,650.0,
2020-08-21,,,,650.0,
2020-08-24,,,,650.0,
2020-08-25,,,,650.0,
2020-08-26,,,,650.0,
2020-08-27,,,,650.0,
2020-08-28,,,,650.0,
2020-08-31,,,,650.0,
2020-09-01,,,,650.0,
2020-09-02,,,,650.0,
2020-09-03,,,,650.0,
2020-09-04,,,,1505.0,
2020-09-08,,,,1505.0,
2020-09-09,,,,1505.0,
2020-09-10,,,,1505.0,
2020-09-11,,,,1505.0,
2020-09-14,,,,1505.0,
2020-09-15,,,,1505.0,
2020-09-16,,,,2075.0,
2020-09-17,,,,2075.0,
2020-09-18,,,,2075.0,
2020-09-21,,,,2075.0,
2020-09-22,,,,2075.0,
2020-09-23,,,,2075.0,
2020-09-24,,,,2075.0,
2020-09-25,,,,2075.0,
2020-09-28,,,,2075.0,
2020-09-29,,,,2075.0,
2020-09-30,,,,4635.0,
2020-10-01,,,,4635.0,
2020-10-02,,,,5920.0,
2020-10-05,,,,5920.0,
2020-10-06,,,,5920.0,
2020-10-07,,,,5920.0,
2020-10-08,,,,5920.0,
2020-10-09,,,,5920.0,
2020-10-12,,,,7201.0,
2020-10-13,,,,7201.0,
2020-10-14,,,,14251.0,
2020-10-15,,,,23181.0,
2020-10-16,,,,28611.0,
2020-10-19,,,,28611.0,
2020-10-20,,,,33411.0,
2020-10-21,,,,37571.0,
2020-10-22,,,,41416.0,
2020-10-23,,,,41416.0,
2020-10-26,,,,43976.0,
2020-10-27,,,,56750.0,
2020-10-28,,,,62229.0,
2020-10-29,,,,64459.0,
2020-10-30,,,,66059.0,
2020-11-02,,,,69919.0,
2020-11-03,,,,69919.0,
2020-11-04,,,,69919.0,
2020-11-05,,,,78299.0,
2020-11-06,,,,88294.0,
2020-11-09,,,,97649.0,
2020-11-10,,,,103729.0,
2020-11-11,,,,110476.0,
2020-11-12,,,,110446.0,
2020-11-13,,,,117192.0,
