date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-04-30,,,,3642656.0,
2020-05-31,,,,3281713.0,
2020-06-30,,,,3075617.0,
2020-07-31,,,,3242294.0,
2020-08-31,,,,3573958.0,
2020-09-30,,,,4231841.0,
2020-10-31,,,,4503739.0,
2020-11-30,,,,4770226.0,
2020-12-31,,,,4409541.0,
2021-01-31,,,,3658584.0,
2021-02-28,,,,3983014.0,
2021-03-31,,,,3854272.0,
2021-04-30,,,,3699671.0,
2021-05-31,,,,2669440.0,
2021-06-30,,,,3078650.0,
2021-07-31,,,,2908459.0,
2021-08-31,,,,2831364.0,
2021-09-30,,,,2924497.0,
2021-10-31,,,,3329372.0,
2021-11-30,,,,3212133.0,
2021-12-31,,,,3893202.0,
2022-01-31,,,,3417234.0,
2022-02-28,,,,3590565.0,
2022-03-31,,,,3815112.0,
2022-04-30,,,,3035892.0,
2022-05-31,,,,2964002.0,
2022-06-30,,,,3190088.0,
2022-07-31,,,,2515774.0,
2022-08-31,,,,2837501.0,
2022-09-30,,,,3478537.0,
2022-10-31,,,,3588132.0,
2022-11-30,,,,3741015.0,
2022-12-31,,,,3236865.0,
2023-01-31,,,,2848202.0,
2023-02-28,,,,2435352.0,
2023-03-31,,,,3113423.0,
2023-04-30,,,,2754923.0,
2023-05-31,,,,2448961.0,
2023-06-30,,,,2633066.0,
2023-07-31,,,,3001709.0,
2023-08-31,,,,3696110.0,
2023-09-30,,,,3348374.0,
2023-10-31,,,,4416224.0,
2023-11-30,,,,4422216.0,
2023-12-31,,,,4143660.0,
2024-01-31,,,,4036339.0,
2024-02-29,,,,3651110.0,
2024-03-31,,,,4373153.0,
2024-04-30,,,,4275701.0,
2024-05-31,,,,4445369.0,
2024-06-30,,,,3613428.0,
2024-07-31,,,,3776796.0,
2024-08-31,,,,3811984.0,
2024-09-30,,,,4597718.0,
2024-10-31,,,,5176111.0,
2024-11-30,,,,4888525.0,
2024-12-31,,,,3926493.0,
2025-01-31,,,,4004085.0,
2025-02-28,,,,3415734.0,
2025-03-31,,,,3287281.0,
