date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-04-30,,,,365386632.0,164908867.0
2020-05-31,,,,467676028.0,215668903.0
2020-06-30,,,,281246789.0,141481179.0
2020-07-31,,,,323348856.0,167763302.0
2020-08-31,,,,369973288.0,190647073.0
2020-09-30,,,,434316203.0,220909386.0
2020-10-31,,,,463355120.0,225200655.0
2020-11-30,,,,577591415.0,275731734.0
2020-12-31,,,,539627214.0,254489883.0
2021-01-31,,,,466469922.0,221946285.0
2021-02-28,,,,413395282.0,191051920.0
2021-03-31,,,,535786005.0,241586366.0
2021-04-30,,,,464836986.0,207151549.0
2021-05-31,,,,432740284.0,190099182.0
2021-06-30,,,,408174805.0,174234668.0
2021-07-31,,,,334840426.0,142861626.0
2021-08-31,,,,428698610.0,172421668.0
2021-09-30,,,,470263860.0,169587727.0
2021-10-31,,,,557836003.0,188709950.0
2021-11-30,,,,570231882.0,175065678.0
2021-12-31,,,,720026763.0,207639869.0
2022-01-31,,,,659385406.0,178050994.0
2022-02-28,,,,828165543.0,208278281.0
2022-03-31,,,,823532965.0,202983105.0
2022-04-30,,,,680041624.0,165744440.0
2022-05-31,,,,585414797.0,142466041.0
2022-06-30,,,,721238463.0,180749696.0
2022-07-31,,,,588623328.0,146495992.0
2022-08-31,,,,556953062.0,139848937.0
2022-09-30,,,,670728545.0,168601665.0
2022-10-31,,,,816196217.0,199801145.0
2022-11-30,,,,884685023.0,216347442.0
2022-12-31,,,,696281320.0,182052243.0
2023-01-31,,,,626692007.0,169517101.0
2023-02-28,,,,437627975.0,122404455.0
2023-03-31,,,,601059474.0,163525563.0
2023-04-30,,,,522256624.0,138018265.0
2023-05-31,,,,537212598.0,141085427.0
2023-06-30,,,,532367567.0,138686029.0
2023-07-31,,,,515086348.0,140452567.0
2023-08-31,,,,653553627.0,197451965.0
2023-09-30,,,,573702753.0,177639599.0
2023-10-31,,,,803299101.0,249318429.0
2023-11-30,,,,735779248.0,234705609.0
2023-12-31,,,,775602707.0,243540185.0
2024-01-31,,,,739222160.0,223974337.0
2024-02-29,,,,750774968.0,216518447.0
2024-03-31,,,,738219439.0,208019887.0
2024-04-30,,,,916094870.0,253742941.0
2024-05-31,,,,928829132.0,243667076.0
2024-06-30,,,,801843949.0,203252346.0
2024-07-31,,,,832076871.0,202266405.0
2024-08-31,,,,870350027.0,206556395.0
2024-09-30,,,,1070565126.0,242988073.0
2024-10-31,,,,1307749175.0,279213668.0
2024-11-30,,,,1372118696.0,285249947.0
2024-12-31,,,,1004088771.0,201847928.0
2025-01-31,,,,1326928626.0,245358610.0
2025-02-28,,,,1030871857.0,172169852.0
